step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,24,14,15,15,right,right,0,0
2,25,13,16,16,right,right,0,0
3,26,12,17,17,right,right,0,0
4,27,11,18,18,right,right,0,0
5,28,10,19,19,right,right,0,0
6,29,9,20,18,right,left,0,0
7,28,8,21,19,right,right,0,0
8,27,7,22,20,right,right,0,0
9,26,6,23,21,right,right,0,0
10,25,5,24,22,right,right,0,0
11,24,4,24,23,stay,right,0,0
12,23,3,24,24,stay,right,0,0
13,22,2,23,25,left,right,0,0
14,21,1,22,24,left,left,0,0
15,20,0,21,23,left,left,0,0
16,14,14,14,13,stay,left,1,0
17,13,13,14,14,stay,right,1,0
18,12,12,13,13,left,left,1,0
19,11,11,12,12,left,left,1,0
20,10,10,11,12,left,stay,1,0
21,9,9,10,11,left,left,1,0
22,8,8,9,10,left,left,1,0
23,7,7,8,9,left,left,1,0
24,6,6,7,10,left,right,1,0
25,5,5,6,9,left,left,1,0
26,4,4,5,8,left,left,1,0
27,3,3,4,7,left,left,1,0
28,2,2,3,7,left,stay,1,0
29,1,1,2,6,left,left,1,0
30,0,0,1,5,left,left,1,0
31,12,14,13,13,left,left,2,0
32,13,13,12,12,left,left,2,0
33,14,12,12,11,stay,left,2,0
34,15,11,13,11,right,stay,2,0
35,16,10,14,12,right,right,2,0
36,17,9,15,13,right,right,2,0
37,18,8,16,14,right,right,2,0
38,19,7,17,13,right,left,2,0
39,20,6,18,13,right,stay,2,0
40,21,5,19,14,right,right,2,0
41,22,4,20,15,right,right,2,0
42,23,3,21,16,right,right,2,0
43,24,2,22,17,right,right,2,0
44,25,1,23,18,right,right,2,0
45,26,0,24,19,right,right,2,0
46,21,16,15,15,right,right,3,0
47,20,17,16,16,right,right,3,0
48,19,18,17,17,right,right,3,0
49,18,19,18,17,right,stay,3,0
50,17,20,18,17,stay,stay,3,0
51,16,21,17,17,left,stay,3,0
52,15,22,16,17,left,stay,3,0
53,14,23,15,17,left,stay,3,0
54,13,24,14,16,left,left,3,0
55,12,25,13,15,left,left,3,0
56,11,26,12,14,left,left,3,0
57,10,27,11,13,left,left,3,0
58,9,28,10,12,left,left,3,0
59,8,29,9,11,left,left,3,0
60,25,14,15,15,right,right,3,1
61,24,13,16,16,right,right,3,1
62,23,12,17,16,right,stay,3,1
63,22,11,18,17,right,right,3,1
64,21,10,19,18,right,right,3,1
65,20,9,20,19,right,right,3,1
66,19,8,20,18,stay,left,3,1
67,18,7,19,17,left,left,3,1
68,17,6,18,18,left,right,3,1
69,16,5,17,19,left,right,3,1
70,15,4,16,19,left,stay,3,1
71,14,3,15,18,left,left,3,1
72,13,2,14,17,left,left,3,1
73,12,1,13,16,left,left,3,1
74,11,0,12,15,left,left,3,1
75,22,16,15,13,right,left,4,1
76,21,17,16,14,right,right,4,1
77,20,18,17,15,right,right,4,1
78,19,19,18,16,right,right,4,1
79,18,20,18,17,stay,right,4,1
80,17,21,18,18,stay,right,4,1
81,16,22,17,18,left,stay,4,1
82,15,23,16,17,left,left,4,1
83,14,24,15,17,left,stay,4,1
84,13,25,14,18,left,right,4,1
85,12,26,13,17,left,left,4,1
86,11,27,12,16,left,left,4,1
87,10,28,11,15,left,left,4,1
88,9,29,10,14,left,left,4,1
89,14,14,13,13,left,left,4,2
90,15,13,13,14,stay,right,4,2
91,16,12,14,13,right,left,4,2
92,17,11,15,14,right,right,4,2
93,18,10,16,15,right,right,4,2
94,19,9,17,16,right,right,4,2
95,20,8,18,17,right,right,4,2
96,21,7,19,18,right,right,4,2
97,22,6,20,19,right,right,4,2
98,23,5,21,20,right,right,4,2
99,24,4,22,21,right,right,4,2
100,25,3,23,22,right,right,4,2
101,26,2,24,23,right,right,4,2
102,27,1,25,24,right,right,4,2
103,28,0,26,25,right,right,4,2
